nameWithOwner,createdAt,primaryLanguage,updatedAt,pullRequests
Solido/awesome-flutter,2017-05-07T11:45:27Z,Dart,2025-03-14T18:10:39Z,445
youngyangyang04/leetcode-master,2019-12-14T12:05:42Z,Shell,2025-03-14T18:25:10Z,2296
scrapy/scrapy,2010-02-22T02:01:14Z,Python,2025-03-14T18:28:55Z,2280
PlexPt/awesome-chatgpt-prompts-zh,2022-12-12T01:55:03Z,,2025-03-14T15:19:32Z,33
ageitgey/face_recognition,2017-03-03T21:52:39Z,Python,2025-03-14T18:01:48Z,94
remix-run/react-router,2014-05-16T22:22:51Z,TypeScript,2025-03-14T16:31:15Z,2775
ElemeFE/element,2016-09-03T06:19:26Z,Vue,2025-03-14T16:37:33Z,3231
tldr-pages/tldr,2013-12-08T07:34:43Z,Markdown,2025-03-14T18:37:08Z,13057
dair-ai/Prompt-Engineering-Guide,2022-12-16T16:04:50Z,MDX,2025-03-14T18:21:54Z,302
Stirling-Tools/Stirling-PDF,2023-01-27T18:22:42Z,Java,2025-03-14T18:42:54Z,1583
git/git,2008-07-23T14:21:26Z,C,2025-03-14T18:05:59Z,3
CorentinJ/Real-Time-Voice-Cloning,2019-05-26T08:56:15Z,Python,2025-03-14T16:21:27Z,48
traefik/traefik,2015-09-13T19:04:02Z,Go,2025-03-14T18:21:24Z,4519
lencx/ChatGPT,2022-12-07T09:43:02Z,Rust,2025-03-14T18:21:25Z,123
deepfakes/faceswap,2017-12-19T09:44:13Z,Python,2025-03-14T18:21:25Z,357
AntonOsika/gpt-engineer,2023-04-29T12:52:15Z,Python,2025-03-14T18:39:45Z,351
ruanyf/weekly,2018-10-13T12:36:07Z,,2025-03-14T18:21:25Z,94
jgraph/drawio-desktop,2017-05-25T20:58:42Z,JavaScript,2025-03-14T17:37:53Z,20
nocodb/nocodb,2017-10-29T18:51:48Z,TypeScript,2025-03-14T18:28:41Z,4548
ultralytics/yolov5,2020-05-18T03:45:11Z,Python,2025-03-14T17:37:36Z,2179
commaai/openpilot,2016-11-24T01:33:30Z,Python,2025-03-14T18:21:26Z,11002
necolas/normalize.css,2011-05-04T10:20:25Z,CSS,2025-03-14T18:21:25Z,56
FiloSottile/mkcert,2018-06-25T05:33:03Z,Go,2025-03-14T17:24:53Z,52
psf/requests,2011-02-13T18:38:17Z,Python,2025-03-14T18:35:03Z,1567
geekan/MetaGPT,2023-06-30T09:04:55Z,Python,2025-03-14T18:40:08Z,665
Z4nzu/hackingtool,2020-04-11T09:21:31Z,Python,2025-03-14T18:30:35Z,56
wasabeef/awesome-android-ui,2014-12-24T01:45:03Z,,2025-03-14T16:26:05Z,90
sharkdp/bat,2018-04-21T10:52:23Z,Rust,2025-03-14T18:18:36Z,1390
gorhill/uBlock,2015-04-01T17:51:11Z,JavaScript,2025-03-14T18:39:03Z,247
ionic-team/ionic-framework,2013-08-20T23:06:02Z,TypeScript,2025-03-14T17:05:01Z,6079
langflow-ai/langflow,2023-02-08T22:28:03Z,Python,2025-03-14T18:30:45Z,3502
topjohnwu/Magisk,2016-09-08T12:42:53Z,C++,2025-03-14T18:30:52Z,1550
golang-standards/project-layout,2017-09-09T16:33:26Z,Makefile,2025-03-14T17:43:58Z,91
Textualize/rich,2019-11-10T15:28:09Z,Python,2025-03-14T18:38:28Z,806
google/material-design-icons,2014-10-08T18:01:28Z,,2025-03-14T16:47:34Z,48
Semantic-Org/Semantic-UI,2013-04-08T23:32:04Z,JavaScript,2025-03-14T05:58:38Z,357
